area,year,month,agg_id,total_crimes
12,2017,6,2400,36
16,2016,4,1900,68
5,2017,4,725,28
13,2016,5,1900,87
7,2016,7,750,138
10,2015,3,400,25
15,2018,2,300,108
15,2018,7,300,149
7,2018,4,400,28
16,2017,12,750,124
3,2017,12,1700,35
7,2015,9,400,30
13,2017,3,850,156
2,2016,11,725,49
16,2018,10,1700,4
8,2016,12,800,64
8,2017,2,400,13
13,2017,4,2400,24
9,2017,9,750,150
14,2015,8,775,304
1,2018,12,1900,108
10,2016,5,1700,16
15,2015,10,1900,124
19,2015,3,1700,28
15,2018,3,850,97
18,2018,12,725,66
21,2017,2,1900,57
1,2018,8,775,258
15,2016,10,300,130
18,2018,8,800,18
7,2018,10,750,170
19,2015,4,1700,19
6,2015,3,400,43
6,2017,3,750,122
10,2015,1,725,25
2,2018,7,800,30
10,2017,7,725,23
19,2017,1,750,148
15,2018,1,1900,100
3,2017,10,775,241
14,2015,4,1700,5
16,2016,1,300,70
1,2016,5,750,127
18,2016,5,725,64
3,2018,11,2400,35
2,2015,1,300,121
11,2017,2,725,27
4,2018,5,1700,19
15,2015,10,850,81
8,2017,5,2400,18
4,2017,3,775,103
8,2018,5,775,191
3,2015,1,850,79
10,2018,1,300,94
2,2015,2,775,115
9,2016,10,1700,12
20,2015,7,2400,28
3,2015,10,400,75
15,2016,3,1900,103
15,2016,7,750,169
14,2018,3,775,240
12,2017,1,1700,34
1,2018,11,850,63
13,2017,9,1700,28
20,2017,1,850,85
14,2016,12,1700,12
7,2018,9,775,210
14,2017,5,850,116
19,2015,9,300,181
11,2016,2,725,17
13,2017,7,400,81
10,2017,8,1700,15
14,2017,10,300,104
7,2017,5,775,160
3,2015,10,750,151
20,2017,12,725,52
19,2018,11,2400,20
9,2017,2,800,76
15,2018,3,725,20
19,2017,8,1700,19
13,2018,11,775,161
21,2018,2,300,102
8,2015,3,850,32
3,2018,9,850,123
14,2016,1,800,59
19,2016,6,775,156
12,2016,1,750,126
1,2016,12,1700,9
3,2018,1,800,56
14,2016,2,2400,16
4,2015,7,800,29
6,2015,2,1700,6
5,2016,6,775,137
5,2017,3,775,140
11,2015,12,725,22
1,2015,9,1900,68
1,2016,7,1700,6
6,2015,6,850,63
1,2015,8,775,203
10,2017,5,1900,56
1,2018,6,850,53
18,2015,9,800,32
9,2016,11,725,23
13,2015,7,2400,26
9,2015,8,750,114
4,2018,12,1900,81
17,2018,12,725,22
15,2015,1,400,41
1,2016,6,400,68
14,2017,9,725,25
10,2018,9,800,48
3,2018,4,775,255
1,2015,1,800,28
4,2017,8,725,29
19,2017,7,300,138
21,2016,11,725,20
10,2017,9,800,89
13,2017,11,300,163
17,2018,12,775,200
16,2015,6,1700,1
7,2016,7,800,48
5,2016,3,775,134
21,2015,11,750,115
5,2015,2,2400,12
19,2017,5,850,90
11,2018,9,725,32
8,2015,3,775,217
19,2017,11,725,40
15,2015,3,1900,84
19,2015,7,725,25
21,2017,3,725,17
21,2017,7,750,132
1,2018,5,2400,42
7,2017,5,800,47
6,2018,1,300,130
11,2016,3,800,56
5,2017,1,2400,16
2,2016,7,750,86
5,2015,3,2400,13
20,2015,4,300,154
21,2016,8,400,25
1,2017,9,775,235
8,2015,4,1700,1
16,2015,9,750,87
19,2017,1,725,20
19,2018,2,800,48
20,2016,10,2400,29
13,2016,5,1700,21
12,2015,7,850,135
3,2016,9,300,178
16,2016,12,850,78
4,2017,9,300,160
9,2016,11,750,146
11,2016,4,400,53
20,2015,2,400,33
6,2015,3,1900,96
7,2015,11,1700,5
20,2016,9,2400,26
3,2016,10,800,65
9,2016,1,725,21
2,2015,6,775,131
8,2015,10,750,134
7,2015,8,800,49
19,2018,12,2400,24
20,2017,7,1700,15
2,2017,5,300,138
15,2018,12,850,89
12,2016,4,775,179
15,2015,11,850,103
9,2016,12,775,193
7,2018,9,850,79
15,2015,6,750,152
5,2016,5,800,30
21,2016,4,850,54
20,2017,12,800,45
9,2017,11,725,25
21,2017,5,1700,18
17,2015,6,850,30
4,2017,2,725,28
2,2017,8,850,62
21,2016,7,400,26
5,2017,7,1900,105
5,2016,2,725,25
14,2015,11,400,28
16,2015,5,850,57
18,2015,4,725,56
2,2016,5,725,47
11,2015,1,775,165
7,2015,10,725,29
15,2015,5,2400,26
20,2015,6,725,52
6,2017,10,2400,26
5,2017,3,800,43
11,2017,8,1900,83
8,2016,6,800,71
11,2016,12,725,31
2,2016,8,850,52
8,2017,11,850,68
21,2017,2,775,229
19,2016,7,1900,111
15,2017,9,725,37
16,2015,9,300,98
18,2016,8,300,150
20,2016,12,775,165
17,2017,9,300,79
8,2016,11,2400,8
9,2016,11,800,76
10,2017,3,750,140
9,2016,9,1900,69
6,2017,9,300,121
12,2017,1,775,157
10,2016,5,725,29
8,2017,2,1700,6
15,2018,7,775,234
18,2017,11,1900,92
18,2015,1,1900,87
18,2015,9,300,187
19,2018,10,800,37
8,2018,4,1900,68
14,2015,11,1900,71
7,2016,6,800,52
19,2016,7,725,36
5,2016,10,400,49
10,2017,7,300,102
15,2017,4,2400,28
16,2018,9,775,118
17,2015,4,1900,54
3,2017,4,725,72
6,2018,10,850,55
14,2018,5,850,94
18,2016,2,775,87
16,2017,11,400,40
11,2016,12,2400,23
12,2017,12,750,145
5,2016,1,1700,30
16,2018,7,300,112
2,2015,2,725,39
4,2017,2,850,124
7,2016,5,2400,15
8,2017,10,1700,15
5,2015,1,1900,77
17,2015,1,2400,35
12,2017,7,725,110
21,2018,9,2400,17
12,2017,3,800,52
16,2015,9,2400,15
17,2018,3,400,25
9,2018,5,750,154
20,2015,7,775,152
13,2017,1,1700,14
2,2015,2,750,113
13,2017,10,400,102
3,2018,1,400,82
9,2015,12,300,111
7,2015,4,800,66
3,2017,4,1900,130
12,2018,6,775,167
6,2018,4,725,34
11,2016,6,400,51
14,2015,11,800,81
15,2018,4,725,28
4,2018,7,1900,105
15,2015,2,850,59
2,2016,9,850,56
14,2018,2,1700,13
9,2018,2,750,121
16,2018,4,850,65
5,2016,11,850,101
12,2018,1,400,121
11,2015,7,2400,19
21,2017,4,1900,75
17,2015,8,300,72
6,2015,7,750,98
3,2016,3,300,185
2,2015,11,1900,64
8,2016,4,1900,68
7,2016,3,1900,70
12,2015,1,1900,110
21,2018,8,2400,22
17,2015,8,400,27
18,2016,2,750,104
17,2018,6,2400,13
6,2018,9,750,158
3,2018,7,1900,114
4,2016,12,800,21
19,2018,8,800,64
13,2018,12,400,80
16,2017,2,775,116
5,2017,12,850,97
17,2016,7,725,20
13,2016,1,725,74
13,2017,6,725,73
8,2017,2,725,17
10,2016,6,850,42
19,2017,7,400,55
3,2018,3,300,161
7,2018,7,800,32
15,2015,12,2400,25
16,2018,12,400,42
1,2018,2,750,113
16,2015,10,750,99
12,2018,4,1900,115
18,2016,4,1700,6
15,2017,2,2400,24
12,2018,11,750,126
2,2016,6,750,73
12,2018,3,1900,116
3,2018,8,1900,131
14,2016,5,1700,9
9,2016,3,300,130
12,2016,11,775,150
2,2016,9,725,59
21,2016,1,750,110
11,2018,6,2400,17
10,2016,8,300,86
20,2016,2,750,136
12,2017,5,1900,131
12,2017,1,1900,117
17,2018,5,775,188
12,2017,3,775,169
19,2018,11,400,34
7,2017,3,800,51
6,2015,4,300,105
11,2016,10,775,191
17,2015,6,800,76
10,2016,10,800,71
15,2016,1,400,34
7,2016,5,850,44
8,2017,3,2400,14
16,2018,11,300,74
1,2018,3,725,65
14,2017,3,800,60
15,2018,11,300,116
1,2018,9,1700,9
13,2016,3,300,129
12,2018,3,725,89
5,2015,6,725,17
21,2017,7,2400,17
1,2015,11,1900,74
2,2017,9,850,56
16,2017,1,725,17
18,2018,9,725,61
11,2016,11,800,48
18,2016,7,1900,108
3,2017,3,2400,34
14,2015,6,775,232
21,2018,1,725,40
4,2015,2,750,71
8,2018,4,300,90
8,2017,5,775,165
3,2016,12,400,91
20,2018,9,775,179
1,2017,6,775,254
17,2018,1,2400,20
10,2016,6,725,31
4,2018,11,775,118
15,2017,7,800,95
5,2018,8,750,100
1,2016,5,800,23
11,2016,10,1700,22
2,2018,2,300,111
13,2015,10,850,104
10,2015,6,300,97
18,2017,12,1700,17
4,2018,12,400,42
2,2018,6,725,53
16,2015,2,400,27
16,2017,8,1700,8
15,2018,8,725,29
6,2018,6,2400,14
5,2016,11,1900,60
4,2018,2,725,22
4,2015,6,2400,10
10,2018,6,750,130
10,2015,8,2400,25
21,2015,1,775,216
20,2017,9,400,56
18,2018,1,2400,23
12,2015,8,750,127
13,2015,1,1900,65
10,2018,11,775,145
19,2018,2,750,103
19,2018,4,850,90
20,2017,10,2400,31
14,2016,6,850,104
6,2016,7,300,112
7,2016,9,725,19
21,2015,8,1900,61
7,2018,12,750,222
8,2015,8,300,106
5,2018,9,750,90
1,2017,1,400,50
9,2016,4,725,30
6,2015,2,850,52
11,2017,12,800,31
11,2018,5,800,52
7,2015,12,400,26
10,2016,10,750,182
19,2015,6,750,103
1,2018,10,850,78
8,2017,6,750,136
11,2015,12,850,85
4,2015,4,850,82
18,2018,6,1900,102
16,2017,6,1700,14
10,2015,4,800,78
9,2017,7,1900,79
6,2018,1,800,58
21,2015,3,400,27
10,2015,3,750,117
20,2015,10,775,172
6,2016,9,725,45
5,2018,8,400,55
8,2015,3,300,111
2,2017,10,725,60
19,2017,3,2400,25
5,2017,12,750,100
10,2017,10,750,160
9,2015,5,750,144
16,2015,1,800,76
10,2016,4,800,74
7,2017,3,750,170
10,2016,9,1700,14
9,2015,3,750,92
17,2015,5,750,138
19,2018,2,2400,12
14,2015,8,725,25
19,2017,8,775,161
6,2015,8,400,49
8,2015,11,850,35
16,2015,4,300,84
14,2015,5,775,268
5,2016,1,750,155
5,2018,10,775,140
4,2017,12,775,138
15,2018,1,300,148
8,2016,4,850,54
10,2017,2,850,57
6,2018,5,1700,14
17,2015,7,300,86
2,2016,5,2400,16
14,2016,11,775,234
15,2017,5,300,139
12,2015,5,750,124
14,2015,11,775,208
7,2018,7,725,41
6,2018,6,1700,9
1,2016,1,750,98
18,2016,9,400,107
15,2015,8,725,20
3,2016,9,1700,32
9,2017,1,1700,13
6,2018,10,775,221
21,2018,7,1700,28
20,2018,2,1900,87
10,2018,5,725,25
19,2015,4,775,157
7,2018,10,800,31
1,2018,6,1900,91
9,2018,10,400,37
7,2015,8,2400,12
15,2017,8,775,244
